"","Item.Code","Item","Element.Code","Element","nvar"
"212",6970,"Artificial surfaces (including urban and associated areas)",5008,"Area from CCI_LC","x_6970_5008"
"34",6971,"Herbaceous crops",5007,"Area from MODIS","x_6971_5007"
"44",6971,"Herbaceous crops",5008,"Area from CCI_LC","x_6971_5008"
"55",6972,"Woody crops",5007,"Area from MODIS","x_6972_5007"
"64",6972,"Woody crops",5008,"Area from CCI_LC","x_6972_5008"
"72",6973,"Multiple or layered crops",5007,"Area from MODIS","x_6973_5007"
"82",6973,"Multiple or layered crops",5008,"Area from CCI_LC","x_6973_5008"
"92",6983,"Grassland",5007,"Area from MODIS","x_6983_5007"
"102",6983,"Grassland",5008,"Area from CCI_LC","x_6983_5008"
"113",6974,"Tree-covered areas",5007,"Area from MODIS","x_6974_5007"
"122",6974,"Tree-covered areas",5008,"Area from CCI_LC","x_6974_5008"
"132",6975,"Mangroves",5007,"Area from MODIS","x_6975_5007"
"142",6975,"Mangroves",5008,"Area from CCI_LC","x_6975_5008"
"152",6976,"Shrub-covered areas",5007,"Area from MODIS","x_6976_5007"
"164",6976,"Shrub-covered areas",5008,"Area from CCI_LC","x_6976_5008"
"172",6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",5007,"Area from MODIS","x_6977_5007"
"182",6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",5008,"Area from CCI_LC","x_6977_5008"
"192",6978,"Sparsely natural vegetated areas",5007,"Area from MODIS","x_6978_5007"
"203",6978,"Sparsely natural vegetated areas",5008,"Area from CCI_LC","x_6978_5008"
"213",6979,"Terrestrial barren land",5007,"Area from MODIS","x_6979_5007"
"222",6979,"Terrestrial barren land",5008,"Area from CCI_LC","x_6979_5008"
"231",6980,"Permanent snow and glaciers",5007,"Area from MODIS","x_6980_5007"
"241",6980,"Permanent snow and glaciers",5008,"Area from CCI_LC","x_6980_5008"
"251",6981,"Inland water bodies",5007,"Area from MODIS","x_6981_5007"
"261",6981,"Inland water bodies",5008,"Area from CCI_LC","x_6981_5008"
"275",6982,"Coastal water bodies and intertidal areas",5007,"Area from MODIS","x_6982_5007"
"281",6982,"Coastal water bodies and intertidal areas",5008,"Area from CCI_LC","x_6982_5008"
"658",257,"Oil, palm",5910,"Export Quantity","x_257_5910"
"830",236,"Soybeans",5910,"Export Quantity","x_236_5910"
"1024",2071,"Bovine Meat",5910,"Export Quantity","x_2071_5910"
"2017",258,"Oil, palm kernel",5910,"Export Quantity","x_258_5910"
"2031",237,"Oil, soybean",5910,"Export Quantity","x_237_5910"
"61",1601,"Sawlogs and veneer logs, coniferous",5516,"Production","x_1601_5516"
"62",1604,"Sawlogs and veneer logs, non-coniferous",5516,"Production","x_1604_5516"
"66",1623,"Other industrial roundwood, coniferous (production)",5516,"Production","x_1623_5516"
"67",1626,"Other industrial roundwood, non-coniferous (production)",5516,"Production","x_1626_5516"
"95",1633,"Sawnwood, non-coniferous all",5516,"Production","x_1633_5516"
"314",1602,"Pulpwood, round and split, coniferous (production)",5516,"Production","x_1602_5516"
"315",1603,"Pulpwood, round and split, non-coniferous (production)",5516,"Production","x_1603_5516"
"373",1634,"Veneer sheets",5516,"Production","x_1634_5516"
