countryname,yr,gdp,forest_area,lag_pop,lag_forest_area,lag_x_6798_7246,lag_x_237_5910,lag_x_257_5910,lag_x_1603_5516,lag_x_1604_5516,lag_x_1626_5516,lag_x_1633_5516,lag_x_1634_5516,Country.Code,IncomeGroup,Sub.Regions,delta_forest_area,forest_change,abs_forest_change
Albania,1995,2392764853,7790.499878,3207536,7810,2351.8542,13.0952381,0,2635.454545,40000,6114.545455,2900,10000,ALB,Upper middle income,Southern Europe,-0.002496815,-19.500122,19.500122
Albania,1996,3199642580,7770.999756,3187784,7790.499878,2351.8542,13.15789474,0,2647.222222,40000,6005.555556,2900,10000,ALB,Upper middle income,Southern Europe,-0.002503064,-19.500122,19.500122
Albania,1997,2258515610,7751.500244,3168033,7770.999756,1334.8393,13.23529412,0,2495.744681,40000,4344.680851,2900,10000,ALB,Upper middle income,Southern Europe,-0.002509267,-19.499512,19.499512
Albania,1998,2545967253,7732.000122,3148281,7751.500244,3290.6168,13.33333333,0,2142.207792,40000,3588.311688,2900,10000,ALB,Upper middle income,Southern Europe,-0.002515658,-19.500122,19.500122
Albania,1999,3212119044,7712.5,3128530,7732.000122,1629.1559,13.46153846,0,3165,3165,1210,19000,10000,ALB,Upper middle income,Southern Europe,-0.002522002,-19.500122,19.500122
Albania,2000,3480355189,7692.999878,3108778,7712.5,1318.2845,13.63636364,0,2000,24000,12000,20000,0,ALB,Upper middle income,Southern Europe,-0.002528379,-19.500122,19.500122
Albania,2001,3922099471,7719.199829,3089027,7692.999878,7693.7349,13.88888889,0,2000,53000,0,43000,37000,ALB,Upper middle income,Southern Europe,0.003405687,26.199951,26.199951
Albania,2002,4348070165,7745.39978,3060173,7719.199829,279.0563,10.63829787,0,0,41700,0,150000,37000,ALB,Upper middle income,Southern Europe,0.003394128,26.199951,26.199951
Albania,2003,5611492283,7771.599731,3051010,7745.39978,0,9.74025974,0,0,44300,0,50000,37000,ALB,Upper middle income,Southern Europe,0.003382647,26.199951,26.199951
Albania,2004,7184681399,7797.800293,3039616,7771.599731,1181.696,25,0,0,39900,8000,50000,37000,ALB,Upper middle income,Southern Europe,0.003371322,26.200562,26.200562
Albania,2005,8052075642,7824.000244,3026939,7797.800293,0,0,0,0,39900,8000,50000,37000,ALB,Upper middle income,Southern Europe,0.003359916,26.199951,26.199951
Albania,2006,8896073938,7811.799927,3011487,7824.000244,64.3976,0,0,0,39900,8000,50000,37000,ALB,Upper middle income,Southern Europe,-0.001559345,-12.200317,12.200317
Albania,2007,10677321490,7799.60022,2992547,7811.799927,30.0522,0,0,0,39900,8000,50000,37000,ALB,Upper middle income,Southern Europe,-0.001561702,-12.199707,12.199707
Albania,2008,12881353985,7787.399902,2970017,7799.60022,20685.7981,0,0,0,9638,39695,4000,0,ALB,Upper middle income,Southern Europe,-0.001564224,-12.200318,12.200318
Albania,2009,12044223458,7775.200195,2947314,7787.399902,500.7986,0,0,0,9638,39695,4000,0,ALB,Upper middle income,Southern Europe,-0.001566596,-12.199707,12.199707
Albania,2010,11926962835,7762.999878,2927519,7775.200195,579.5784,0,0,0,9638,39695,4000,0,ALB,Upper middle income,Southern Europe,-0.001569132,-12.200317,12.200317
Albania,2011,12890867536,7753.400269,2913021,7762.999878,154.7689,0,0,0,9638,39695,4000,0,ALB,Upper middle income,Southern Europe,-0.001236585,-9.599609,9.599609
Albania,2012,12319784701,7743.800049,2905195,7753.400269,3704.7937,0,0,0,9638,39695,4000,0,ALB,Upper middle income,Southern Europe,-0.001238195,-9.60022,9.60022
Albania,2013,12776277649,7734.199829,2900401,7743.800049,10668.5364,0,4,0,9638,39695,4000,0,ALB,Upper middle income,Southern Europe,-0.00123973,-9.60022,9.60022
Albania,2014,13228244336,7724.60022,2895092,7734.199829,107.3293,0,3,0,9640,39700,4000,0,ALB,Upper middle income,Southern Europe,-0.00124119,-9.599609,9.599609
Albania,2015,11386927679,7715,2889104,7724.60022,0,0,0,0,9640,39700,4000,0,ALB,Upper middle income,Southern Europe,-0.001242811,-9.60022,9.60022
Albania,2016,11861353752,7705.39978,2880703,7715,602.3322,0,0,0,9640,39700,4000,0,ALB,Upper middle income,Southern Europe,-0.001244358,-9.60022,9.60022
Albania,2017,11696708692,7694.212287,2874910.332,7705.39978,602.3322,0,0,0,9640.400083,39701.00013,4000,0,ALB,Upper middle income,Southern Europe,-0.001451903,-11.18749306,11.18749306
Albania,2018,11534349037,7683.041037,2869129.313,7694.212287,602.3322,0,0,0,9640.800183,39702.00028,4000,0,ALB,Upper middle income,Southern Europe,-0.001451903,-11.1712499,11.1712499
Albania,2019,11374243064,7671.886007,2863359.918,7683.041037,602.3322,0,0,0,9641.200299,39703.00045,4000,0,ALB,Upper middle income,Southern Europe,-0.001451903,-11.15503033,11.15503033
Albania,2020,11104195894,7661.372838,2800450.082,7671.886007,572.21559,0,0,0,8195.360367,33748.40056,3400,0,ALB,Upper middle income,Southern Europe,-0.00137035,-10.51316899,10.51316899
Albania,2021,10950060790,7646.603772,2823337.35,7661.372838,584.262234,0,0,0,8677.800523,35734.50079,3600,0,ALB,Upper middle income,Southern Europe,-0.001927731,-14.76906592,14.76906592
Algeria,1991,45715367087,16581.99951,25758869,16670,9631.4666,0.533333333,3326,26000,5000,79000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005278974,-88.00049,88.00049
Algeria,1992,48003298223,16494.00024,26400479,16581.99951,9631.4666,0.538461538,3326,26000,12000,81000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005306915,-87.99927,87.99927
Algeria,1993,49946455211,16405.99976,27028326,16494.00024,9631.4666,0.545454545,3326,26000,14000,83000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005335302,-88.00048,88.00048
Algeria,1994,42542571306,16318.00049,27635515,16405.99976,9631.4666,0.555555556,3326,26000,27000,85000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005363847,-87.99927,87.99927
Algeria,1995,41764052458,16230,28213774,16318.00049,9631.4666,0.425531915,3326,26000,19000,87000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005392848,-88.00049,88.00049
Algeria,1996,46941496780,16141.99951,28757785,16230,9631.4666,0.38961039,3326,26000,12000,89000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005422088,-88.00049,88.00049
Algeria,1997,48177862502,16054.00024,29266405,16141.99951,10117.9999,1,3326,26000,18000,91000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005451572,-87.99927,87.99927
Algeria,1998,48187747529,15965.99976,29742979,16054.00024,7475.2493,0,3326,26000,20000,94000,3400,2300,DZA,Upper middle income,Northern Africa,-0.00548153,-88.00048,88.00048
Algeria,1999,48639108361,15878.00049,30192754,15965.99976,7902.7813,0,2807.662338,26000,20000,96000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005511667,-87.99927,87.99927
Algeria,2000,54786074940,15790,30623406,15878.00049,8269.4816,0,3326,26000,20000,98000,3400,2300,DZA,Upper middle income,Northern Africa,-0.00554229,-88.00049,88.00049
Algeria,2001,54743249369,15704.00024,31042235,15790,40639.3965,0,3326,26000,0,55000,3400,2300,DZA,Upper middle income,Northern Africa,-0.00544647,-85.99976,85.99976
Algeria,2002,56758113501,15618.00049,31451514,15704.00024,601.0443,0,3326,26000,0,73000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005476296,-85.99975,85.99975
Algeria,2003,67866141224,15531.99951,31855109,15618.00049,1567.0084,0,0,26000,0,73000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005506529,-86.00098,86.00098
Algeria,2004,85324767230,15445.99976,32264157,15531.99951,3498.9365,0,1,26000,0,29700,3400,2300,DZA,Upper middle income,Northern Africa,-0.00553694,-85.99975,85.99975
Algeria,2005,1.03E+11,15360,32692163,15445.99976,3305.7437,47000,0,28900,0,37000,3400,2300,DZA,Upper middle income,Northern Africa,-0.005567769,-85.99976,85.99976
Algeria,2006,1.17E+11,16124.00024,33149724,15360,9080.0622,60200,0,23200,0,20000,3400,2300,DZA,Upper middle income,Northern Africa,0.049739599,764.00024,764.00024
Algeria,2007,1.35E+11,16888.00049,33641002,16124.00024,10518.2753,48500,0,23200,0,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.047382798,764.00025,764.00025
Algeria,2008,1.71E+11,17651.99951,34166972,16888.00049,21551.7315,371,0,51000,0,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.045239164,763.99902,763.99902
Algeria,2009,1.37E+11,18415.99976,34730608,17651.99951,17194.1603,4850,0,51000,0,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.04328123,764.00025,764.00025
Algeria,2010,1.61E+11,19180,35333881,18415.99976,5151.8083,32600,0,51000,0,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.041485678,764.00024,764.00024
Algeria,2011,2.00E+11,19255.99976,35977455,19180,2146.5868,44400,0,15000,5000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.003962448,75.99976,75.99976
Algeria,2012,2.09E+11,19331.99951,36661444,19255.99976,18997.2932,38700,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.003946809,75.99975,75.99975
Algeria,2013,2.10E+11,19408.00049,37383887,19331.99951,44863.6641,50000,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.003931356,76.00098,76.00098
Algeria,2014,2.14E+11,19484.00024,38140132,19408.00049,1567.0084,49500,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.003915898,75.99975,75.99975
Algeria,2015,1.66E+11,19560,38923687,19484.00024,6976.4071,58900,3,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.003900624,75.99976,75.99976
Algeria,2016,1.60E+11,19635.99976,39728025,19560,429.3174,52800,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.003885468,75.99976,75.99976
Algeria,2017,1.53899E+11,19764.72782,40537435.49,19635.99976,1924.209337,59009.49393,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.006555717,128.7280574,128.7280574
Algeria,2018,1.48E+11,20000.76745,41363336.75,19764.72782,8624.345468,65949.24951,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.011942468,236.0396295,236.0396295
Algeria,2019,1.42327E+11,20192.80122,42206064.74,20000.76745,38654.49217,73705.14846,0,8000,3000,11600,3400,2300,DZA,Upper middle income,Northern Africa,0.00960132,192.0337685,192.0337685
Algeria,2020,1.35503E+11,20573.05848,42204643.05,20192.80122,164587.7107,82373.17255,0,6800,2550,9860,2890,1955,DZA,Upper middle income,Northern Africa,0.018831328,380.2572629,380.2572629
Algeria,2021,1.30309E+11,20932.83591,43503945.44,20573.05848,753215.6943,92060.5914,0,7200,2700,10440,3060,2070,DZA,Upper middle income,Northern Africa,0.017487795,359.7774292,359.7774292
American Samoa,1991,520240000,183.5000038,47347,183.8999939,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002175041,-0.3999901,0.3999901
American Samoa,1992,520217391.3,183.1999969,48685,183.5000038,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001634915,-0.3000069,0.3000069
American Samoa,1993,520190476.2,182.9000092,49896,183.1999969,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001637487,-0.2999877,0.2999877
American Samoa,1994,520157894.7,182.5,51020,182.9000092,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002187038,-0.4000092,0.4000092
American Samoa,1995,520117647.1,182.1999931,52095,182.5,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001643873,-0.3000069,0.3000069
American Samoa,1996,520066666.7,181.9000053,53161,182.1999931,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001646475,-0.2999878,0.2999878
American Samoa,1997,5.20E+08,181.4999962,54211,181.9000053,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.00219906,-0.4000091,0.4000091
American Samoa,1998,519909090.9,181.2000084,55221,181.4999962,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001652825,-0.2999878,0.2999878
American Samoa,1999,519777777.8,180.7999992,56171,181.2000084,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002207556,-0.4000092,0.4000092
American Samoa,2000,517638297.9,180.4999924,57053,180.7999992,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.00165933,-0.3000068,0.3000068
American Samoa,2001,515272727.3,180.2000046,57821,180.4999924,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001661982,-0.2999878,0.2999878
American Samoa,2002,5.14E+08,179.7999954,58494,180.2000046,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002219807,-0.4000092,0.4000092
American Samoa,2003,5.27E+08,179.5000076,59080,179.7999954,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001668453,-0.2999878,0.2999878
American Samoa,2004,5.12E+08,179.0999985,59504,179.5000076,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002228463,-0.4000091,0.4000091
American Samoa,2005,5.03E+08,178.7999916,59681,179.0999985,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.00167508,-0.3000069,0.3000069
American Samoa,2006,4.96E+08,178.5000038,59562,178.7999916,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001677784,-0.2999878,0.2999878
American Samoa,2007,5.20E+08,178.0999947,59107,178.5000038,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002240947,-0.4000091,0.4000091
American Samoa,2008,5.63E+08,177.8000069,58365,178.0999947,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001684378,-0.2999878,0.2999878
American Samoa,2009,6.78E+08,177.5,57492,177.8000069,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001687328,-0.3000069,0.3000069
American Samoa,2010,5.76E+08,177.0999908,56683,177.5,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002253573,-0.4000092,0.4000092
American Samoa,2011,5.74E+08,176.8000031,56079,177.0999908,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001693889,-0.2999877,0.2999877
American Samoa,2012,6.44E+08,176.3999939,55759,176.8000031,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002262495,-0.4000092,0.4000092
American Samoa,2013,6.41E+08,176.1000061,55667,176.3999939,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001700611,-0.2999878,0.2999878
American Samoa,2014,6.42E+08,175.7999992,55713,176.1000061,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.001703617,-0.3000069,0.3000069
American Samoa,2015,6.61E+08,175.4000092,55791,175.7999992,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002275256,-0.39999,0.39999
American Samoa,2016,6.52E+08,175,55812,175.4000092,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,-0.002280554,-0.4000092,0.4000092
American Samoa,2017,669582116.1,176.3195175,55808.43578,175,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,0.0075401,1.3195175,1.3195175
American Samoa,2018,687638359.2,177.6489843,55804.87178,176.3195175,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,0.0075401,1.329466794,1.329466794
American Samoa,2019,706181514.8,178.9399987,55801.30801,177.6489843,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,0.007267221,1.291014429,1.291014429
American Samoa,2020,717972466.1,180.2259526,54681.78958,178.9399987,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,0.007186509,1.285953911,1.285953911
American Samoa,2021,737333624.5,181.4753281,55236.23934,180.2259526,0,0,0,0,0,0,0,0,ASM,Upper middle income,Polynesia,0.006932273,1.249375505,1.249375505
Andorra,1991,1106928583,160,54509,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1992,1210013652,160,56671,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1993,1007025755,160,58888,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1994,1017549124,160,60971,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1995,1178738991,160,62677,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1996,1223945357,160,63850,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1997,1180597273,160,64360,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1998,1211932398,160,64327,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,1999,1239876305,160,64142,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2000,1434429703,160,64370,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2001,1496912752,160,65390,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2002,1733116883,160,67341,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2003,2398645598,160,70049,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2004,2935659300,160,73182,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2005,3255789081,160,76244,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2006,3543256806,160,78867,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2007,4016972351,160,80993,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2008,4007353157,160,82684,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2009,3660530703,160,83862,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2010,3355695364,160,84463,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2011,3442062830,160,84449,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2012,3164615187,160,83747,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2013,3281585236,160,82427,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2014,3350736367,160,80774,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2015,2811489409,160,79213,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2016,2877311947,160,78011,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0,0,0
Andorra,2017,2785184676,160.8442091,76771.12086,160,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0.005276307,0.84420912,0.84420912
Andorra,2018,2696007185,161.6928725,75550.94792,160.8442091,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0.005276307,0.848663426,0.848663426
Andorra,2019,2609685024,162.625972,74350.16797,161.6928725,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0.005770814,0.933099493,0.933099493
Andorra,2020,2500865504,163.5960187,71705.10334,162.625972,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0.005964894,0.970046685,0.970046685
Andorra,2021,2420791492,164.6052062,71285.50347,163.5960187,0,0,0,0,0,0,0,0,AND,High income,Southern Europe,0.006168778,1.009187521,1.009187521
Angola,1991,10603784541,608511.9922,11848386,609760,288434.2629,0,0,0,66000,777000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.00204672,-1248.0078,1248.0078
Angola,1992,8307810974,607263.9844,12248901,608511.9922,288434.2629,0,0,0,66000,803000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002050917,-1248.0078,1248.0078
Angola,1993,5768720422,606016.0156,12657366,607263.9844,288434.2629,0,0,0,66000,831000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002055068,-1247.9688,1247.9688
Angola,1994,4438321017,604768.0078,13075049,606016.0156,288434.2629,0,0,0,66000,861000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002059364,-1248.0078,1248.0078
Angola,1995,5538749260,603520,13503747,604768.0078,288434.2629,0,0,0,66000,892000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002063614,-1248.0078,1248.0078
Angola,1996,7526446606,602271.9922,13945206,603520,288434.2629,0,0,0,45900,923000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002067881,-1248.0078,1248.0078
Angola,1997,7648377413,601023.9844,14400719,602271.9922,1413319.628,0,0,0,45900,954000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002072166,-1248.0078,1248.0078
Angola,1998,6506229607,599776.0156,14871570,601023.9844,1264633.836,0,0,0,45900,986000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002076404,-1247.9688,1247.9688
Angola,1999,6152922943,598528.0078,15359601,599776.0156,1687125.994,0,0,0,45900,1018000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.00208079,-1248.0078,1248.0078
Angola,2000,9129594819,597280,15866869,598528.0078,1570152.647,0,0,0,45900,1050000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002085128,-1248.0078,1248.0078
Angola,2001,8936063723,596031.9922,16395473,597280,1157849.985,0,0,0,45900,1050000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002089485,-1248.0078,1248.0078
Angola,2002,15285594828,594783.9844,16945753,596031.9922,631114.6765,0,0,0,45900,1050000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.00209386,-1248.0078,1248.0078
Angola,2003,17812705294,593536.0156,17519417,594783.9844,270343.1669,0,0,0,45900,1050000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002098188,-1247.9688,1247.9688
Angola,2004,23552052408,592288.0078,18121479,593536.0156,228046.8085,0,933,0,45900,1050000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002102666,-1248.0078,1248.0078
Angola,2005,36970918699,591040,18758145,592288.0078,310159.101,0,4500,0,45900,1050000,5000,1000,AGO,Lower middle income,Sub-Saharan Africa,-0.002107096,-1248.0078,1248.0078
